ds,ProductoID,ProductoNombre,yhat,yhat_lower,yhat_upper
<<<<<<< HEAD
2024-07-15,P31,Muslo Especial,13.548955983758331,10.303161649439854,16.491150363956006
2024-12-02,P31,Muslo Especial,9.910059820518914,6.862487224307727,12.694951998535739
2024-12-09,P31,Muslo Especial,13.851768511786172,10.965783538619846,16.790281831489935
2024-12-16,P31,Muslo Especial,17.596190266284836,14.627240392951864,20.69595498160261
2024-12-23,P31,Muslo Especial,18.037606395827144,14.874213254082589,21.063356780900133
2024-12-30,P31,Muslo Especial,15.491133334995329,12.409761621774205,18.412179224979933
2025-01-06,P31,Muslo Especial,13.348322255512992,10.23864170791141,16.187426076570905
2025-01-13,P31,Muslo Especial,14.409024083440217,11.556434214307009,17.330691198123823
2025-01-20,P31,Muslo Especial,17.900774012641314,15.004041118046592,20.892047330105488
2025-01-27,P31,Muslo Especial,20.451423115083962,17.669495161823804,23.590030772538473
2025-02-03,P31,Muslo Especial,19.844265202736793,17.207340707289784,23.015790031506853
2025-02-10,P31,Muslo Especial,17.321663029724423,14.402521327714155,20.489757891690115
2025-02-17,P31,Muslo Especial,15.973288129733895,12.971887897163572,18.839147081980467
2025-02-24,P31,Muslo Especial,17.21182225409453,14.216223114918193,19.934213963822177
2025-03-03,P31,Muslo Especial,19.349215398661688,16.35879012372147,22.369495855016787
2025-03-10,P31,Muslo Especial,19.69359694421902,16.855279240533296,22.712555038710864
2025-03-17,P31,Muslo Especial,17.585452581984523,14.819899698049621,20.644880775031638
2025-03-24,P31,Muslo Especial,14.976863562218341,11.989896114240514,17.896217718565133
2025-03-31,P31,Muslo Especial,14.182409874096725,11.424634394019227,17.43380891967733
2025-04-07,P31,Muslo Especial,15.549846829728569,12.431675426711976,18.639304229313492
2025-04-14,P31,Muslo Especial,17.51648242451124,14.460390108054122,20.31926083940927
2025-04-21,P31,Muslo Especial,18.558540365573382,15.561649595303361,21.52780777267796
2025-04-28,P31,Muslo Especial,18.581247285618495,15.607300364804944,21.56272064687995
2025-05-05,P31,Muslo Especial,18.40036065471987,15.355954322243994,21.470555784941066
2025-05-12,P31,Muslo Especial,18.39286344747701,15.35844336940858,21.213687143374646
2025-05-19,P31,Muslo Especial,18.122312292597794,14.945626032158279,21.056984297483172
2025-05-26,P31,Muslo Especial,17.196957447137375,14.037129002865116,20.050495992997845
2025-06-02,P31,Muslo Especial,16.022430321556083,12.95551923749532,19.01819119709747
2025-06-09,P31,Muslo Especial,15.42913743414566,12.25783960902614,18.451711584635778
2025-06-16,P31,Muslo Especial,15.723536432994123,12.435767723092704,18.721065634282308
2025-06-23,P31,Muslo Especial,16.39869116052396,13.674490241555693,19.475251882515536
2025-06-30,P31,Muslo Especial,16.787267839227432,13.675610649000522,19.641573754980875
2025-07-07,P31,Muslo Especial,16.755992848907947,13.833521717728061,19.712480424222367
2025-07-14,P31,Muslo Especial,16.646638577276185,13.623856740939324,19.704561714225786
2025-07-21,P31,Muslo Especial,16.73919996394797,13.826105401421692,19.75030270810865
2025-07-28,P31,Muslo Especial,17.02268311189839,14.045575294059686,20.050344085091904
2025-08-04,P31,Muslo Especial,17.436604210887904,14.290412727632415,20.576420113073752
