ds,ProductoID,ProductoNombre,yhat,yhat_lower,yhat_upper
2024-11-26,PC009,Titiles,2.3727624383914447,1.3463436584624509,3.41433424312108
2024-11-27,PC009,Titiles,2.1678083715825136,1.143186276241299,3.1095756267027754
2024-11-28,PC009,Titiles,2.369961116707287,1.2979834534273749,3.345411675884034
2024-11-29,PC009,Titiles,2.317862864089955,1.2036506368459556,3.2855271780175177
2024-11-30,PC009,Titiles,2.2684571377802736,1.2610126331260936,3.3597482888169528
2024-12-01,PC009,Titiles,2.1215442081168536,1.0751837812266674,3.213104466110983
2024-12-02,PC009,Titiles,2.6581489624504435,1.6355598978349868,3.8003240667789386
2024-12-03,PC009,Titiles,2.3741927088305874,1.373050874941349,3.4659154585001515
2024-12-04,PC009,Titiles,2.169238642020664,1.134682120991978,3.250855236790927
2024-12-05,PC009,Titiles,2.3713913871466232,1.3026463999156515,3.4147429265430196
2024-12-06,PC009,Titiles,2.319293134529504,1.3530652822844924,3.348272378575278
2024-12-07,PC009,Titiles,2.2698874082194176,1.2273106364006705,3.2666532482254023
2024-12-08,PC009,Titiles,2.122974478554866,1.0414018425707194,3.1505158132623743
2024-12-09,PC009,Titiles,2.659579233226692,1.668703055977814,3.7211447227849224
2024-12-10,PC009,Titiles,2.3756229799427664,1.3352797010279416,3.449590908004612
2024-12-11,PC009,Titiles,2.1706689134700636,1.139272165826654,3.1717708239266527
2024-12-12,PC009,Titiles,2.3728216589315125,1.288124781282673,3.39271193732469
2024-12-13,PC009,Titiles,2.320723406651712,1.3111622968162955,3.3956349986038927
2024-12-14,PC009,Titiles,2.271317680677669,1.1882782173622617,3.2518562649769462
2024-12-15,PC009,Titiles,2.1244047513501503,0.9934220731856725,3.179653413501586
2024-12-16,PC009,Titiles,2.6610095060210575,1.6123380772212084,3.6564623157838803
2024-12-17,PC009,Titiles,2.37705325273679,1.3029569409469446,3.48827169022982
2024-12-18,PC009,Titiles,2.1720991862646883,1.0690011136107116,3.1609647511224317
2024-12-19,PC009,Titiles,2.374251931725956,1.27627848023714,3.463498122275312
2024-12-20,PC009,Titiles,2.32215367867569,1.2504747405412273,3.438693170402446
2024-12-21,PC009,Titiles,2.2727479519300418,1.2603730164896934,3.360188251726275
2024-12-22,PC009,Titiles,2.12583502183169,1.0698818009098205,3.2007431005284155
2024-12-23,PC009,Titiles,2.66243977573162,1.5446615540687891,3.697364864478873
2024-12-24,PC009,Titiles,2.378483521676985,1.3642100580826133,3.4157853612279543
2024-12-25,PC009,Titiles,2.1735294544321193,1.074498593790113,3.1787862960135675
2024-12-26,PC009,Titiles,2.3756821991235695,1.4108288824010078,3.437890051080141
2024-12-27,PC009,Titiles,2.3235839460713525,1.2755554207419089,3.3239349883639475
2024-12-28,PC009,Titiles,2.2741782193261906,1.183828308151659,3.2856568930433303
2024-12-29,PC009,Titiles,2.127265289227085,1.1017045134062031,3.1253159994290156
2024-12-30,PC009,Titiles,2.6638700431285844,1.6721782233916058,3.7153639840338366
2024-12-31,PC009,Titiles,2.3799137890726163,1.3480199690734522,3.4101497349188
2025-01-01,PC009,Titiles,2.17495972204352,1.0471019433322015,3.2076654658458423
