ds,ProductoID,ProductoNombre,yhat,yhat_lower,yhat_upper
2024-12-02,PC014,Punta de Cacho,13.729586061929918,10.839978672158239,16.41403675247742
2024-12-09,PC014,Punta de Cacho,15.509545907082963,12.8237010110136,18.391418284739554
2024-12-16,PC014,Punta de Cacho,16.09182988437755,13.377143706152339,18.946238863709784
2024-12-23,PC014,Punta de Cacho,14.875561432513877,12.012935034156728,17.636613703984423
2024-12-30,PC014,Punta de Cacho,13.280172851254356,10.38226921164905,15.978670319121933
2025-01-06,PC014,Punta de Cacho,13.014392271064521,10.266285046304345,15.710259923522845
2025-01-13,PC014,Punta de Cacho,14.272378398018311,11.673864369172477,16.84562059973933
2025-01-20,PC014,Punta de Cacho,15.785484908956558,13.045517366594117,18.470867204572055
2025-01-27,PC014,Punta de Cacho,16.427881340313725,13.591971734723016,19.311472287131604
2025-02-03,PC014,Punta de Cacho,16.388250101299384,13.96102573604211,19.210091681294415
2025-02-10,PC014,Punta de Cacho,16.6476108625025,14.102213671297095,19.436526031689937
2025-02-17,PC014,Punta de Cacho,17.598240092806982,14.670706586752285,20.314827078109033
2025-02-24,PC014,Punta de Cacho,18.546843627336543,15.72477460195519,21.325954124670602
2025-03-03,PC014,Punta de Cacho,18.610474444163547,15.811196518270465,21.409691170248816
2025-03-10,PC014,Punta de Cacho,17.79433818636051,15.216854034933311,20.33423377901208
2025-03-17,PC014,Punta de Cacho,16.937613108031712,14.052938060683864,19.661427449774006
2025-03-24,PC014,Punta de Cacho,16.7094882153067,13.926245161608664,19.522622064562313
2025-03-31,PC014,Punta de Cacho,16.971453754904488,14.42113868672027,19.77502192587451
2025-04-07,PC014,Punta de Cacho,17.225218553273766,14.595997416164915,20.00701850451158
2025-04-14,PC014,Punta de Cacho,17.415477325782557,14.751218038191569,20.04764492296414
2025-04-21,PC014,Punta de Cacho,17.949019347619966,15.195789442420596,20.66732491899872
2025-04-28,PC014,Punta de Cacho,18.90394486564698,16.1368935471761,21.664190861661172
2025-05-05,PC014,Punta de Cacho,19.545984742971218,16.86029437641414,22.250550278595803
2025-05-12,PC014,Punta de Cacho,18.94130233115432,16.385114729343623,21.7981399261666
2025-05-19,PC014,Punta de Cacho,17.055841052846894,14.189177108025968,19.601246089938666
2025-05-26,PC014,Punta de Cacho,15.029693607291781,12.341069744537625,17.567158895062715
2025-06-02,PC014,Punta de Cacho,14.210537904843203,11.34074926767733,17.033746524217612
2025-06-09,PC014,Punta de Cacho,14.947400733566823,12.003041372344228,17.603990764797942
2025-06-16,PC014,Punta de Cacho,16.39756771595948,13.482373807551548,19.150206322398283
2025-06-23,PC014,Punta de Cacho,17.443379778554533,14.774991750011433,20.168034933878435
2025-06-30,PC014,Punta de Cacho,17.661407159107693,15.007608203512238,20.342979346765297
2025-07-07,PC014,Punta de Cacho,17.413316628695384,14.582304799832233,20.350330891784946
2025-07-14,PC014,Punta de Cacho,17.211064889730682,14.55748227897745,19.995831427119494
2025-07-21,PC014,Punta de Cacho,17.196386031502175,14.33389995172115,19.666790977848166
2025-07-28,PC014,Punta de Cacho,17.202046153377236,14.50873415217064,19.7707354043053
2025-08-04,PC014,Punta de Cacho,17.105143729729786,14.29231138700934,19.894471211915832
2025-08-11,PC014,Punta de Cacho,16.994774240509766,14.170035631792539,19.852946879478626
2025-08-18,PC014,Punta de Cacho,17.08244645282855,14.480457986982922,19.887472370427005
2025-08-25,PC014,Punta de Cacho,17.571807570213032,14.823825509848618,20.2937584170384
2025-09-01,PC014,Punta de Cacho,18.54814656058133,15.933035162914287,21.34336501065722
2025-09-08,PC014,Punta de Cacho,19.793801143168984,17.175658230392454,22.570397568945083
2025-09-15,PC014,Punta de Cacho,20.67084825339074,17.744014466923915,23.480728180383196
2025-09-22,PC014,Punta de Cacho,20.444357136301726,17.638415750077375,23.38788281490258
2025-09-29,PC014,Punta de Cacho,19.03484894978872,16.32544845497031,21.609382267116402
2025-10-06,PC014,Punta de Cacho,17.449655786598864,14.709020861937683,20.055585533519718
2025-10-13,PC014,Punta de Cacho,17.11202585279661,14.325880236965478,19.811303943725406
2025-10-20,PC014,Punta de Cacho,18.41746619768187,15.629941297733497,21.35296481015266
2025-10-27,PC014,Punta de Cacho,19.987143886291722,17.204599966388518,22.792455558511925
